comparison,metric,mean,ci95_low,ci95_high,n_blocks,matched_scenarios,p_two_sided,p_holm_within_suite
SASP minus SASP-NoPredictedService,deadline_expiration_class0,-0.4075342121446763,-0.4177193473943105,-0.39734907689504206,5,120,3.9370527610787385e-08,5.905579141618107e-07
SASP minus SASP-NoPredictedService,queue_overflow_packet_probability,-0.18236516003454417,-0.18681839876228915,-0.1779119213067992,5,120,3.588453913898529e-08,5.741526262237647e-07
SASP minus SASP-NoPredictedService,cohort_goodput_mbps,2.632675925925926,2.5415927521350685,2.7237590997167835,5,120,1.4451351437164632e-07,2.0231892012030487e-06
SASP minus SASP-NoPredictedService,energy_j,0.03772538012311717,0.034882393475861063,0.04056836677037328,5,120,3.2406314484410544e-06,4.2128208829733705e-05
SASP minus SASP-NoVirtualQueue,deadline_expiration_class0,0.0007181566456076459,-0.00017435820880998872,0.0016106715000252804,5,120,0.08920893301622884,0.20249215295501383
SASP minus SASP-NoVirtualQueue,queue_overflow_packet_probability,-0.0032252265164383676,-0.004463461262265081,-0.001986991770611654,5,120,0.0019397162093336305,0.013578013465335412
SASP minus SASP-NoVirtualQueue,cohort_goodput_mbps,0.0300879629629629,0.01620415459168782,0.04397177133423798,5,120,0.0038426926043687607,0.023056155626212563
SASP minus SASP-NoVirtualQueue,energy_j,-0.0003961193845238877,-0.0004529820901850636,-0.00033925667886271183,5,120,4.2121165420950476e-05,0.00042121165420950477
SASP minus SASP-NoCriticalCoverage,deadline_expiration_class0,0.0004662086080091363,-1.910438453645773e-06,0.0009343276544719183,5,120,0.0505836224893743,0.20249215295501383
SASP minus SASP-NoCriticalCoverage,queue_overflow_packet_probability,-0.0001652177214456224,-0.0004517564545635577,0.00012132101167231291,5,120,0.18465474109222677,0.20249215295501383
SASP minus SASP-NoCriticalCoverage,cohort_goodput_mbps,0.00258333333333333,0.0001812847617185271,0.004985381904948133,5,120,0.04049843059100276,0.20249215295501383
SASP minus SASP-NoCriticalCoverage,energy_j,-4.455433482951608e-05,-8.822396682522993e-05,-8.847028338022391e-07,5,120,0.047215924161432,0.20249215295501383
SASP minus SASP-GreedyAssignment,deadline_expiration_class0,-0.003422939972738171,-0.0045166913310785385,-0.0023291886143978037,5,120,0.0009657490971355826,0.007725992777084661
SASP minus SASP-GreedyAssignment,queue_overflow_packet_probability,-0.008279447735695288,-0.009322613595851256,-0.0072362818755393205,5,120,2.5099432942363456e-05,0.00030119319530836144
SASP minus SASP-GreedyAssignment,cohort_goodput_mbps,0.07811111111111106,0.06665928133700488,0.08956294088521724,5,120,4.579445724665768e-05,0.00042121165420950477
SASP minus SASP-GreedyAssignment,energy_j,-0.0022110136689404906,-0.0025186546346743235,-0.0019033727032066578,5,120,3.721938346528642e-05,0.00040941321811815057
