comparison,metric,mean,ci95_low,ci95_high,n_blocks,matched_scenarios,p_two_sided,p_holm_within_suite
SASP minus MaxRateMatching,deadline_expiration_class0,-0.035143624494205564,-0.0370239712784589,-0.03326327770995223,5,120,8.254409999453614e-07,1.155617399923506e-05
SASP minus MaxRateMatching,queue_overflow_packet_probability,-0.02088790355960029,-0.023340341660326117,-0.01843546545887446,5,120,1.8960415003633263e-05,6.134203566264815e-05
SASP minus MaxRateMatching,cohort_goodput_mbps,0.36776296296296296,0.3516711194309094,0.3838548064950165,5,120,3.695109996834683e-07,6.281686994618961e-06
SASP minus MaxRateMatching,energy_j,0.06142356434730366,0.05544320305340883,0.06740392564119849,5,120,8.999377569649834e-06,5.3996265417899006e-05
SASP minus MaxWeight,deadline_expiration_class0,-0.21863165049096267,-0.22657118177456728,-0.21069211920735806,5,120,1.7539897857916865e-07,3.332580593004204e-06
SASP minus MaxWeight,queue_overflow_packet_probability,-0.017682712889786793,-0.01879193307938028,-0.016573492700193305,5,120,1.5580948263588991e-06,1.713904308994789e-05
SASP minus MaxWeight,cohort_goodput_mbps,0.395,0.37215694826845286,0.4178430517315472,5,120,1.1260765794979183e-06,1.4638995533472939e-05
SASP minus MaxWeight,energy_j,0.07652459778112597,0.06953855725469946,0.08351063830755248,5,120,6.962918524233761e-06,4.874042966963633e-05
SASP minus WeightedMaxWeight,deadline_expiration_class0,-0.07930921848648007,-0.08335463440764354,-0.07526380256531659,5,120,6.819873666382914e-07,1.0229810499574371e-05
SASP minus WeightedMaxWeight,queue_overflow_packet_probability,-0.01410609212225036,-0.015946096632374028,-0.01226608761212669,5,120,2.880579652228684e-05,6.134203566264815e-05
SASP minus WeightedMaxWeight,cohort_goodput_mbps,0.35246018518518524,0.3393751436591408,0.3655452267112297,5,120,1.9157443932065906e-07,3.448339907771863e-06
SASP minus WeightedMaxWeight,energy_j,0.06241506385254599,0.05622517441223208,0.06860495329285991,5,120,9.684645731686967e-06,5.3996265417899006e-05
SASP minus EDF,deadline_expiration_class0,0.004867006510943651,0.003773092315660742,0.0059609207062265605,5,120,0.0002467974024186777,0.0002467974024186777
SASP minus EDF,queue_overflow_packet_probability,-0.043579242108488576,-0.04491087554621914,-0.04224760867075801,5,120,8.795577323046855e-08,1.7591154646093712e-06
SASP minus EDF,cohort_goodput_mbps,0.16322129629629628,0.1500724729466671,0.17637011964592547,5,120,4.228648985498332e-06,3.805784086948499e-05
SASP minus EDF,energy_j,0.06100106844124259,0.05421101657158929,0.06779112031089589,5,120,1.5335508915662038e-05,6.134203566264815e-05
SASP minus LyapunovDPP-Energy,deadline_expiration_class0,-0.22588264484878534,-0.2358129732951742,-0.21595231640239648,5,120,3.765237108517461e-07,6.281686994618961e-06
SASP minus LyapunovDPP-Energy,queue_overflow_packet_probability,-0.019761398841092445,-0.02092886278275086,-0.01859393489943403,5,120,1.2262762025397553e-06,1.4715314430477065e-05
SASP minus LyapunovDPP-Energy,cohort_goodput_mbps,0.4199240740740741,0.39337131398080766,0.4464768341673406,5,120,1.608608047319822e-06,1.713904308994789e-05
SASP minus LyapunovDPP-Energy,energy_j,0.1039377243618634,0.09491367830707317,0.11296177041665362,5,120,5.700085516107039e-06,4.560068412885631e-05
