comparison,metric,mean,ci95_low,ci95_high,n_blocks,matched_scenarios,p_two_sided,p_holm_within_suite
SASP minus MaxRateMatching,deadline_expiration_class0,-0.05273261434726376,-0.053847473441781105,-0.05161775525274642,5,120,2.0164605829040735e-08,3.8312751075177396e-07
SASP minus MaxRateMatching,queue_overflow_packet_probability,-0.05325468735310903,-0.05417157513511741,-0.05233779957110065,5,120,8.869863647257077e-09,1.7739727294514154e-07
SASP minus MaxRateMatching,cohort_goodput_mbps,0.7837361111111111,0.766504416590022,0.8009678056322002,5,120,2.358554196898922e-08,4.2453975544180595e-07
SASP minus MaxRateMatching,energy_j,0.01635075135079859,0.015462842481223654,0.017238660220373524,5,120,8.758118852396447e-07,7.006495081917158e-06
SASP minus MaxWeight,deadline_expiration_class0,-0.1748750079805315,-0.18114979299131012,-0.16860022296975286,5,120,1.6718445175109698e-07,2.5077667762664547e-06
SASP minus MaxWeight,queue_overflow_packet_probability,-0.033431459273721334,-0.03532945001603323,-0.03153346853140944,5,120,1.0460207543201356e-06,7.006495081917158e-06
SASP minus MaxWeight,cohort_goodput_mbps,0.7508796296296296,0.7283918116113011,0.7733674476479582,5,120,8.116449063141998e-08,1.3797963407341397e-06
SASP minus MaxWeight,energy_j,0.01911820298147222,0.01788774051895241,0.02034866544399203,5,120,1.7263381840203679e-06,8.63169092010184e-06
SASP minus WeightedMaxWeight,deadline_expiration_class0,-0.08984338038250053,-0.09287387721948233,-0.08681288354551873,5,120,1.3058060420398535e-07,2.0892896672637656e-06
SASP minus WeightedMaxWeight,queue_overflow_packet_probability,-0.029214323826502055,-0.031547274067545296,-0.02688137358545881,5,120,4.083589376966381e-06,1.2250768130899144e-05
SASP minus WeightedMaxWeight,cohort_goodput_mbps,0.6574166666666666,0.6265800822992107,0.6882532510341226,5,120,4.878330414451273e-07,6.61788431030599e-06
SASP minus WeightedMaxWeight,energy_j,0.016413588176667163,0.015640157120188927,0.0171870192331454,5,120,4.968595840100896e-07,6.61788431030599e-06
SASP minus EDF,deadline_expiration_class0,0.005059815664950394,0.0039238119562624955,0.006195819373638292,5,120,0.0002457400999088895,0.0002457400999088895
SASP minus EDF,queue_overflow_packet_probability,-0.02572443547440678,-0.02713883086944097,-0.024310040079372593,5,120,9.203652648068063e-07,7.006495081917158e-06
SASP minus EDF,cohort_goodput_mbps,0.17330555555555552,0.15453376622153203,0.192077344889579,5,120,1.3758587836975343e-05,2.7517175673950685e-05
SASP minus EDF,energy_j,0.015534532738626905,0.014421036474472298,0.016648029002781513,5,120,2.6535660202357617e-06,1.0614264080943047e-05
SASP minus LyapunovDPP-Energy,deadline_expiration_class0,-0.18610531414437895,-0.19542447254219739,-0.1767861557465605,5,120,6.334689991174564e-07,6.61788431030599e-06
SASP minus LyapunovDPP-Energy,queue_overflow_packet_probability,-0.03509033514915739,-0.03674066412308628,-0.0334400061752285,5,120,4.930564050278003e-07,6.61788431030599e-06
SASP minus LyapunovDPP-Energy,cohort_goodput_mbps,0.7984907407407407,0.7613310411329957,0.8356504403484857,5,120,4.727060221647135e-07,6.61788431030599e-06
SASP minus LyapunovDPP-Energy,energy_j,0.029006071856490106,0.027607674231333496,0.030404469481646716,5,120,5.443640775876777e-07,6.61788431030599e-06
