comparison,metric,mean,ci95_low,ci95_high,n_blocks,matched_scenarios,p_two_sided,p_holm_within_suite
SASP minus MaxRateMatching,deadline_expiration_class0,-0.001256146247276144,-0.001482249341697133,-0.0010300431528551552,10,719,5.188808131400271e-07,5.707688944540299e-06
SASP minus MaxRateMatching,queue_overflow_packet_probability,-0.0003657155749242315,-0.000506916074599242,-0.00022451507524922108,10,720,0.00024101503827508316,0.0014460902296504988
SASP minus MaxRateMatching,cohort_goodput_mbps,0.002870370370370369,0.0021555092003359357,0.0035852315404048024,10,720,7.91841099253593e-06,6.334728794028745e-05
SASP minus MaxRateMatching,energy_j,0.009145953004284314,0.008817160782802137,0.009474745225766492,10,720,3.2611090261235717e-13,6.522218052247143e-12
SASP minus MaxWeight,deadline_expiration_class0,-0.002504332910201497,-0.0028595740230150974,-0.0021490917973878963,10,719,6.619805732514469e-08,7.943766879017362e-07
SASP minus MaxWeight,queue_overflow_packet_probability,-0.0002682457170554565,-0.00038394247892172386,-0.0001525489551891891,10,720,0.0005313116009369697,0.0026565580046848487
SASP minus MaxWeight,cohort_goodput_mbps,0.003735339506172836,0.003234651079095437,0.004236027933250236,10,720,4.036633369868042e-08,5.247623380828455e-07
SASP minus MaxWeight,energy_j,0.008896402785379837,0.008540885917905363,0.009251919652854311,10,720,8.433246802042442e-13,1.4336519563472151e-11
SASP minus WeightedMaxWeight,deadline_expiration_class0,-0.0011349802983517028,-0.0013556734129229614,-0.0009142871837804443,10,719,1.0021640603153385e-06,1.0021640603153385e-05
SASP minus WeightedMaxWeight,queue_overflow_packet_probability,-0.00022300985621417322,-0.0003426965781288233,-0.00010332313429952314,10,720,0.0022559560225041114,0.009023824090016445
SASP minus WeightedMaxWeight,cohort_goodput_mbps,0.0021790123456790094,0.0014794826317057696,0.0028785420596522493,10,720,6.008705043048194e-05,0.0004206093530133736
SASP minus WeightedMaxWeight,energy_j,0.008883986726683685,0.008541646735295248,0.009226326718072123,10,720,6.083865764184147e-13,1.0950958375531463e-11
SASP minus EDF,deadline_expiration_class0,0.0,0.0,0.0,10,719,,1.0
SASP minus EDF,queue_overflow_packet_probability,-4.4456032408567775e-05,-7.081974028167219e-05,-1.809232453546336e-05,10,720,0.004124033765093804,0.012372101295281414
SASP minus EDF,cohort_goodput_mbps,0.0003009259259259261,0.00011876556966921179,0.0004830862821826404,10,720,0.004646628087613839,0.012372101295281414
SASP minus EDF,energy_j,0.008735597036089887,0.008380287074101211,0.009090906998078564,10,720,9.881823766899164e-13,1.5810918027038662e-11
SASP minus LyapunovDPP-Energy,deadline_expiration_class0,-0.009728704524227786,-0.010590064312326671,-0.0088673447361289,10,719,1.037535645920734e-09,1.4525499042890276e-08
SASP minus LyapunovDPP-Energy,queue_overflow_packet_probability,-0.0012414117453258006,-0.0015063895793698033,-0.0009764339112817978,10,720,2.2018639195452653e-06,1.9816775275907387e-05
SASP minus LyapunovDPP-Energy,cohort_goodput_mbps,0.019246913580246917,0.01776260421586912,0.020731222944624716,10,720,3.0349217880617437e-10,4.5523826820926155e-09
SASP minus LyapunovDPP-Energy,energy_j,0.015356284532555591,0.014779247706860425,0.01593332135825076,10,720,4.853060105826875e-13,9.220814201071063e-12
