method,block,index,scenario_seed,throughput_mbps,avg_delay_ms,offered_packets,accepted_packets,completed_on_time_packets,queue_overflow_packets,deadline_expired_packets,queue_overflow_packet_probability,deadline_expiration_probability,deadline_expiration_given_admission,total_packet_failure_probability,on_time_delivery_probability,deadline_violation_prob,queue_saturation_device_slot_probability,queue_saturation_slot_probability,energy_j,energy_eff_bpj,minimum_battery_fraction,battery_penalty_activation_possible,jain_fairness_classes,jain_fairness_devices,utilization,mean_scheduled_channels,idle_channel_rate,reservation_conflict_rate,valid_schedule_rate,channel_action_entropy,power_action_entropy,deadline_total,measurement_steps,deadline_followup_steps,total_simulated_steps,background_arrivals_followup,background_overflow_followup,background_deadline_expired_followup,warm_start_packets_excluded,warm_start_deadline_expired_excluded,followup_delivered_bits,followup_energy_j,monitored_residual_packets,packet_outcome_conservation_error,monitored_cohort_complete,regime_code,deadline_expiration_class0,deadline_expiration_given_admission_class0,total_packet_failure_class0,on_time_delivery_class0,deadline_violation_class0,queue_overflow_class0,offered_packets_class0,accepted_packets_class0,completed_on_time_packets_class0,deadline_expired_packets_class0,monitored_residual_packets_class0,served_bits_class0,deadline_expiration_class1,deadline_expiration_given_admission_class1,total_packet_failure_class1,on_time_delivery_class1,deadline_violation_class1,queue_overflow_class1,offered_packets_class1,accepted_packets_class1,completed_on_time_packets_class1,deadline_expired_packets_class1,monitored_residual_packets_class1,served_bits_class1,deadline_expiration_class2,deadline_expiration_given_admission_class2,total_packet_failure_class2,on_time_delivery_class2,deadline_violation_class2,queue_overflow_class2,offered_packets_class2,accepted_packets_class2,completed_on_time_packets_class2,deadline_expired_packets_class2,monitored_residual_packets_class2,served_bits_class2,phase_pre_surge_slots,phase_pre_surge_throughput_mbps,phase_pre_surge_queue_overflow_packet_probability,phase_pre_surge_deadline_violation_class0,phase_pre_surge_deadline_expiration_probability_by_arrival_cohort,phase_surge_slots,phase_surge_throughput_mbps,phase_surge_queue_overflow_packet_probability,phase_surge_deadline_violation_class0,phase_surge_deadline_expiration_probability_by_arrival_cohort,phase_degradation_slots,phase_degradation_throughput_mbps,phase_degradation_queue_overflow_packet_probability,phase_degradation_deadline_violation_class0,phase_degradation_deadline_expiration_probability_by_arrival_cohort,phase_recovery_slots,phase_recovery_throughput_mbps,phase_recovery_queue_overflow_packet_probability,phase_recovery_deadline_violation_class0,phase_recovery_deadline_expiration_probability_by_arrival_cohort,phase_stationary_slots,phase_stationary_throughput_mbps,phase_stationary_queue_overflow_packet_probability,phase_stationary_deadline_violation_class0,phase_stationary_deadline_violation_prob,phase_stationary_deadline_expiration_probability_by_arrival_cohort,phase_stationary_total_packet_failure_probability_by_arrival_cohort,phase_stationary_on_time_delivery_probability_by_arrival_cohort,phase_stationary_deadline_expiration_class0_by_arrival_cohort,phase_stationary_queue_backlog_packets_class0,phase_stationary_service_bits_class0,phase_stationary_deadline_expiration_class1_by_arrival_cohort,phase_stationary_queue_backlog_packets_class1,phase_stationary_service_bits_class1,phase_stationary_deadline_expiration_class2_by_arrival_cohort,phase_stationary_queue_backlog_packets_class2,phase_stationary_service_bits_class2,phase_domain_base_slots,phase_domain_base_throughput_mbps,phase_domain_base_queue_overflow_packet_probability,phase_domain_base_deadline_violation_class0,phase_domain_base_deadline_expiration_probability_by_arrival_cohort,phase_domain_shift_slots,phase_domain_shift_throughput_mbps,phase_domain_shift_queue_overflow_packet_probability,phase_domain_shift_deadline_violation_class0,phase_domain_shift_deadline_expiration_probability_by_arrival_cohort,recovery_achieved,recovery_time_slots,recovery_time_slots_censored,recovery_slots_observed,cohort_goodput_mbps,cohort_on_time_payload_bits,controller_median_ms,controller_p95_ms,decision_median_ms,decision_p95_ms,episode_wall_seconds,selected_service_prediction_bias_bits,selected_service_prediction_mae_bits,predicted_service_bits_primary
SASP,0,0,411000000,3.023905050262132,4.034602076124568,289.0,289.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06563708598442537,8292612.337731416,0.9994498045070874,0.0,0.7439417287943706,0.90292061991122,0.8644444444444445,4.322222222222222,0.13555555555555557,0.0,1.0,0.9994032737281485,0.7798480248804283,0.0,180.0,180.0,360.0,314.0,0.0,0.0,16.0,0.0,545806.7467721014,0.06460491658110099,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,35100.0,0.0,0.0,0.0,1.0,0.0,0.0,173.0,173.0,173.0,0.0,0.0,285180.0,0.0,0.0,0.0,1.0,0.0,0.0,78.0,78.0,78.0,0.0,0.0,224022.90904718367,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,180.0,3.023905050262132,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.005555555555555556,35100.0,0.0,1.2722222222222221,285180.0,0.0,4.311111111111111,224022.90904718367,0.0,,,,,0.0,,,,,,,0.0,0.0,2.8544444444444443,513800.0,1.7742,2.98167,1.7603,2.96753,0.9332565000513569,0.0,0.0,544302.9090471837
MaxRateMatching,0,0,411000000,3.0272909130284424,4.463667820069205,289.0,289.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.061538574440151705,8854809.675109794,0.9994533135225127,0.0,0.7444852266475573,0.9037830944579717,0.8611111111111112,4.305555555555555,0.1388888888888889,0.0,1.0,0.9997852507111868,0.6611423212383726,0.0,180.0,180.0,360.0,314.0,0.0,0.0,16.0,0.0,546341.8265082046,0.06107194372868309,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,35100.0,0.0,0.0,0.0,1.0,0.0,0.0,173.0,173.0,173.0,0.0,0.0,284570.0,0.0,0.0,0.0,1.0,0.0,0.0,78.0,78.0,78.0,0.0,0.0,225242.36434512018,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,180.0,3.0272909130284424,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.005555555555555556,35100.0,0.0,1.7777777777777777,284570.0,0.0,4.511111111111111,225242.36434512018,0.0,,,,,0.0,,,,,,,0.0,0.0,2.8544444444444443,513800.0,0.639,1.0647,0.639,1.0647,0.5108316999394447,0.0,0.0,544912.3643451197
MaxWeight,0,0,411000000,3.027856693217923,5.491349480968858,289.0,289.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0630175990068861,8648603.142110683,0.9994603315533642,0.0,0.7441372697478873,0.9034336997816671,0.8811111111111111,4.405555555555556,0.11888888888888889,0.0,1.0,0.9997191947316184,0.6698744627683612,0.0,180.0,180.0,360.0,314.0,0.0,0.0,16.0,0.0,545598.2727015227,0.06060116376665307,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,35100.0,0.0,0.0,0.0,1.0,0.0,0.0,173.0,173.0,173.0,0.0,0.0,285122.03407672327,0.0,0.0,0.0,1.0,0.0,0.0,78.0,78.0,78.0,0.0,0.0,224792.17070250303,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,180.0,3.027856693217923,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10555555555555556,35100.0,0.0,3.35,285122.03407672327,0.0,4.894444444444445,224792.17070250303,0.0,,,,,0.0,,,,,,,0.0,0.0,2.8544444444444443,513800.0,0.7747,1.3462299999999998,0.7747,1.3462299999999998,0.550821500015445,0.0,0.0,545014.2047792261
WeightedMaxWeight,0,0,411000000,3.0278566932179234,5.079584775086505,289.0,289.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0628159253536106,8676369.91274378,0.9994462954916623,0.0,0.7441372697478871,0.9034336997816668,0.8833333333333333,4.416666666666667,0.11666666666666667,0.0,1.0,0.9998422110412901,0.6557903313937088,0.0,180.0,180.0,360.0,314.0,0.0,0.0,16.0,0.0,546190.4790331902,0.06134758320590186,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,35100.0,0.0,0.0,0.0,1.0,0.0,0.0,173.0,173.0,173.0,0.0,0.0,285122.03407672327,0.0,0.0,0.0,1.0,0.0,0.0,78.0,78.0,78.0,0.0,0.0,224792.1707025031,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,180.0,3.0278566932179234,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.022222222222222223,35100.0,0.0,2.3833333333333333,285122.03407672327,0.0,5.427777777777778,224792.1707025031,0.0,,,,,0.0,,,,,,,0.0,0.0,2.8544444444444443,513800.0,0.7488,1.1250699999999998,0.7488,1.1250699999999998,0.5310239000245929,0.0,0.0,545014.2047792262
EDF,0,0,411000000,3.0225342593070184,4.200692041522491,289.0,289.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06296307932905433,8640876.089175144,0.9994287504145345,0.0,0.743886570852425,0.9026636085578668,0.8844444444444445,4.4222222222222225,0.11555555555555555,0.0,1.0,0.9998054495300822,0.6594083718382877,0.0,180.0,180.0,360.0,314.0,0.0,0.0,16.0,0.0,544786.0439674446,0.061758938064618685,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,35100.0,0.0,0.0,0.0,1.0,0.0,0.0,173.0,173.0,173.0,0.0,0.0,285180.0,0.0,0.0,0.0,1.0,0.0,0.0,78.0,78.0,78.0,0.0,0.0,223776.16667526355,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,180.0,3.0225342593070184,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.005555555555555556,35100.0,0.0,1.261111111111111,285180.0,0.0,4.6,223776.16667526355,0.0,,,,,0.0,,,,,,,0.0,0.0,2.8544444444444443,513800.0,0.7094,1.06218,0.7094,1.06218,0.5588901999872178,0.0,0.0,544056.1666752633
LyapunovDPP-Energy,0,0,411000000,3.027377789964823,6.41522491349481,289.0,289.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06122425319174496,8900525.098885851,0.999449804507088,0.0,0.7441200856249428,0.9035250113830193,0.8766666666666667,4.383333333333334,0.12333333333333334,0.0,1.0,0.9999330122882176,0.5991057449236223,0.0,180.0,180.0,360.0,314.0,0.0,0.0,16.0,0.0,545007.7797998753,0.05925183639836288,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,35100.0,0.0,0.0,0.0,1.0,0.0,0.0,173.0,173.0,173.0,0.0,0.0,285119.8203897255,0.0,0.0,0.0,1.0,0.0,0.0,78.0,78.0,78.0,0.0,0.0,224708.18180394324,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,180.0,3.027377789964823,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08888888888888889,35100.0,0.0,3.4944444444444445,285119.8203897255,0.0,5.483333333333333,224708.18180394324,0.0,,,,,0.0,,,,,,,0.0,0.0,2.8544444444444443,513800.0,0.8813,1.3954699999999998,0.8813,1.3954699999999998,0.6007651999825612,0.0,0.0,544928.002193668
MaxRateMatching,0,1,411000001,3.0805707993971727,3.252906976744186,344.0,344.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06783822293438564,8173898.429323778,0.9996171837876451,0.0,0.9413397349294643,0.9072532027912488,0.8433333333333334,4.216666666666667,0.15666666666666668,0.0,1.0,0.998350121586986,0.8702350117661194,0.0,180.0,180.0,360.0,329.0,0.0,0.0,11.0,0.0,539561.0497800824,0.06479444000800694,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,132.0,132.0,132.0,0.0,0.0,119700.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,134.0,134.0,0.0,0.0,220800.0,0.0,0.0,0.0,1.0,0.0,0.0,78.0,78.0,78.0,0.0,0.0,214002.74389149118,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,180.0,3.0805707993971727,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09444444444444444,119700.0,0.0,1.5277777777777777,220800.0,0.0,3.066666666666667,214002.74389149118,0.0,,,,,0.0,,,,,,,0.0,0.0,2.977777777777778,536000.0,0.6947,0.9885999999999999,0.6947,0.9885999999999999,0.5241579000139609,0.0,0.0,554502.7438914911
MaxWeight,0,1,411000001,3.080570799397173,3.6424418604651163,344.0,344.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06841115630612818,8105443.232243973,0.9996136747722186,0.0,0.9413397349294644,0.9072532027912488,0.8466666666666667,4.233333333333333,0.15333333333333332,0.0,1.0,0.9985627021374784,0.875378880598315,0.0,180.0,180.0,360.0,329.0,0.0,0.0,11.0,0.0,539561.0497800823,0.06489597600924189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,132.0,132.0,132.0,0.0,0.0,119700.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,134.0,134.0,0.0,0.0,220800.0,0.0,0.0,0.0,1.0,0.0,0.0,78.0,78.0,78.0,0.0,0.0,214002.74389149126,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,180.0,3.080570799397173,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2388888888888889,119700.0,0.0,2.388888888888889,220800.0,0.0,3.066666666666667,214002.74389149126,0.0,,,,,0.0,,,,,,,0.0,0.0,2.977777777777778,536000.0,0.7852,1.25996,0.7852,1.25996,0.5568008000263944,0.0,0.0,554502.7438914912
WeightedMaxWeight,0,1,411000001,3.080570799397173,3.2790697674418605,344.0,344.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06722380541676881,8248606.880460413,0.9996136747722184,0.0,0.9413397349294643,0.9072532027912488,0.8411111111111111,4.205555555555556,0.15888888888888889,0.0,1.0,0.998526423835886,0.8608417071242304,0.0,180.0,180.0,360.0,329.0,0.0,0.0,11.0,0.0,539561.0497800825,0.06483271897788109,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,132.0,132.0,132.0,0.0,0.0,119700.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,134.0,134.0,0.0,0.0,220800.0,0.0,0.0,0.0,1.0,0.0,0.0,78.0,78.0,78.0,0.0,0.0,214002.74389149118,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,180.0,3.080570799397173,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07777777777777778,119700.0,0.0,1.6277777777777778,220800.0,0.0,3.1333333333333333,214002.74389149118,0.0,,,,,0.0,,,,,,,0.0,0.0,2.977777777777778,536000.0,0.7508,1.06163,0.7508,1.06163,0.5290103000588715,0.0,0.0,554502.7438914912
EDF,0,1,411000001,3.0805707993971723,3.127906976744186,344.0,344.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06788440535915505,8168337.646294333,0.9996101657567932,0.0,0.941339734929464,0.9072532027912488,0.8466666666666667,4.233333333333333,0.15333333333333332,0.0,1.0,0.9987794374780253,0.8667605226907412,0.0,180.0,180.0,360.0,329.0,0.0,0.0,11.0,0.0,539561.0497800825,0.06517360318136915,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,132.0,132.0,132.0,0.0,0.0,119700.0,0.0,0.0,0.0,1.0,0.0,0.0,134.0,134.0,134.0,0.0,0.0,220800.00000000003,0.0,0.0,0.0,1.0,0.0,0.0,78.0,78.0,78.0,0.0,0.0,214002.74389149123,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,180.0,3.0805707993971723,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,119700.0,0.0,1.0222222222222221,220800.00000000003,0.0,3.2777777777777777,214002.74389149123,0.0,,,,,0.0,,,,,,,0.0,0.0,2.977777777777778,536000.0,0.7142,1.0092999999999999,0.7142,1.0092999999999999,0.5237571999896318,0.0,0.0,554502.743891491
