comparison,metric,mean,ci95_low,ci95_high,n_blocks,matched_scenarios,p_two_sided,p_holm_within_suite
SASP minus MaxRateMatching,deadline_expiration_class0,-0.04809827332528388,-0.05008899408931008,-0.04610755256125768,10,719,1.1554441710623115e-12,2.310888342124623e-12
SASP minus MaxRateMatching,queue_overflow_packet_probability,-0.0467373737936865,-0.047988593043928905,-0.04548615454344409,10,720,2.3064806924861782e-14,4.1516652464751206e-13
SASP minus MaxRateMatching,cohort_goodput_mbps,0.46652700617283954,0.45527374415015875,0.47778026819552033,10,720,9.035735617184058e-15,1.8071471234368115e-13
SASP minus MaxRateMatching,energy_j,0.012513521285870239,0.012070547317133177,0.0129564952546073,10,720,2.8395043137042497e-13,2.1001336819296474e-12
SASP minus MaxWeight,deadline_expiration_class0,-0.13656676586488167,-0.14094554607108845,-0.1321879856586749,10,719,1.166888900202679e-13,1.400266680243215e-12
SASP minus MaxWeight,queue_overflow_packet_probability,-0.03107352106588865,-0.03215669160807584,-0.029990350523701456,10,720,2.4724666785308457e-13,2.1001336819296474e-12
SASP minus MaxWeight,cohort_goodput_mbps,0.47149074074074077,0.46000878559336944,0.4829726958881121,10,720,9.844595313275398e-15,1.8704731095223255e-13
SASP minus MaxWeight,energy_j,0.013742833133849589,0.013225856597660766,0.014259809670038412,10,720,4.901179435651044e-13,2.1001336819296474e-12
SASP minus WeightedMaxWeight,deadline_expiration_class0,-0.07574907538898226,-0.07785860928494934,-0.07363954149301519,10,719,3.2887182698181125e-14,4.933077404727168e-13
SASP minus WeightedMaxWeight,queue_overflow_packet_probability,-0.026800399144088254,-0.02772734757016783,-0.02587345071800868,10,720,2.3049451839071573e-13,2.1001336819296474e-12
SASP minus WeightedMaxWeight,cohort_goodput_mbps,0.40092438271604947,0.3900499901087061,0.4117987753233928,10,720,2.593889454054594e-14,4.239996350145104e-13
SASP minus WeightedMaxWeight,energy_j,0.012422641881854848,0.011997406523219104,0.012847877240490592,10,720,2.1001336819296475e-13,2.1001336819296474e-12
SASP minus EDF,deadline_expiration_class0,0.0026766493113797333,0.0023107576777641383,0.0030425409449953283,10,719,4.792397560985849e-08,4.792397560985849e-08
SASP minus EDF,queue_overflow_packet_probability,-0.021671659925978796,-0.022400697446736735,-0.020942622405220858,10,720,1.7961914467401141e-13,1.9758105914141255e-12
SASP minus EDF,cohort_goodput_mbps,0.14089891975308638,0.13561321467891774,0.14618462482725503,10,720,4.781137554305945e-13,2.1001336819296474e-12
SASP minus EDF,energy_j,0.011789786640728831,0.011366279015368772,0.01221329426608889,10,720,3.2384414342353955e-13,2.1001336819296474e-12
SASP minus LyapunovDPP-Energy,deadline_expiration_class0,-0.1450576542362537,-0.14944306751463807,-0.14067224095786932,10,719,6.879250646882345e-14,8.943025840947048e-13
SASP minus LyapunovDPP-Energy,queue_overflow_packet_probability,-0.03348826829126683,-0.03443307448747775,-0.03254346209505592,10,720,3.695990238127649e-14,5.174386333378708e-13
SASP minus LyapunovDPP-Energy,cohort_goodput_mbps,0.5039683641975309,0.49035859277356886,0.5175781356214929,10,720,2.4941155000853553e-14,4.239996350145104e-13
SASP minus LyapunovDPP-Energy,energy_j,0.020315933189711876,0.019574911509201817,0.021056954870221935,10,720,3.71501704020174e-13,2.1001336819296474e-12
