figure,panel,suite,method,metric,unit,estimand,mean,ci95_low,ci95_high,n_blocks,n_evaluable_scenarios
2,a,stress,MaxRateMatching,cohort_goodput_mbps,Mbps,mean,3.70903549382716,3.6955192386320856,3.7225517490222346,10,720
2,a,stress,MaxWeight,cohort_goodput_mbps,Mbps,mean,3.7040717592592594,3.68798613036354,3.7201573881549788,10,720
2,a,stress,WeightedMaxWeight,cohort_goodput_mbps,Mbps,mean,3.7746381172839505,3.761228530599001,3.7880477039689,10,720
2,a,stress,EDF,cohort_goodput_mbps,Mbps,mean,4.034663580246914,4.012748784135467,4.0565783763583605,10,720
2,a,stress,LyapunovDPP-Energy,cohort_goodput_mbps,Mbps,mean,3.6715941358024686,3.6598178001171964,3.683370471487741,10,720
2,a,stress,SASP,cohort_goodput_mbps,Mbps,mean,4.175562500000001,4.152952552338683,4.198172447661318,10,720
2,b,stress,MaxRateMatching,queue_overflow_packet_probability,%,mean,6.31776069420507,6.108981193936385,6.526540194473755,10,720
2,b,stress,MaxWeight,queue_overflow_packet_probability,%,mean,4.751375421425284,4.570620649806752,4.932130193043816,10,720
2,b,stress,WeightedMaxWeight,queue_overflow_packet_probability,%,mean,4.324063229245246,4.166265236999513,4.481861221490979,10,720
2,b,stress,EDF,queue_overflow_packet_probability,%,mean,3.8111893074342995,3.6176787033141307,4.004699911554469,10,720
2,b,stress,LyapunovDPP-Energy,queue_overflow_packet_probability,%,mean,4.992850143963104,4.802540014293388,5.18316027363282,10,720
2,b,stress,SASP,queue_overflow_packet_probability,%,mean,1.64402331483642,1.483947564410929,1.804099065261911,10,720
2,c,stress,MaxRateMatching,deadline_expiration_class0,%,mean,5.11399620197199,4.8953049324246525,5.332687471519327,10,719
2,c,stress,MaxRateMatching,deadline_expiration_class1,%,mean,7.492752489693831,7.13175266803078,7.853752311356882,10,720
2,c,stress,MaxWeight,deadline_expiration_class0,%,mean,13.96084545593177,13.48633150630083,14.435359405562709,10,719
2,c,stress,MaxWeight,deadline_expiration_class1,%,mean,7.112314941338134,6.935112197385215,7.289517685291053,10,720
2,c,stress,WeightedMaxWeight,deadline_expiration_class0,%,mean,7.879076408341831,7.646503798421506,8.111649018262156,10,719
2,c,stress,WeightedMaxWeight,deadline_expiration_class1,%,mean,6.690331553147741,6.442356161806256,6.938306944489227,10,720
2,c,stress,EDF,deadline_expiration_class0,%,mean,0.036503938305628716,0.014480060676656487,0.05852781593460095,10,719
2,c,stress,EDF,deadline_expiration_class1,%,mean,0.14290811116454913,0.05541262490305067,0.2304035974260476,10,720
2,c,stress,LyapunovDPP-Energy,deadline_expiration_class0,%,mean,14.809934293068972,14.339830814201202,15.280037771936742,10,719
2,c,stress,LyapunovDPP-Energy,deadline_expiration_class1,%,mean,7.416233848879481,7.261422196801549,7.571045500957412,10,720
2,c,stress,SASP,deadline_expiration_class0,%,mean,0.3041688694436021,0.2558524615710081,0.3524852773161961,10,719
2,c,stress,SASP,deadline_expiration_class1,%,mean,0.4529905269680188,0.3258600244627644,0.5801210294732732,10,720
3,a,stress,MaxRateMatching,phase_pre_surge_throughput_mbps,Mbps,mean,3.541958807582509,3.5078255242013805,3.5760920909636376,10,720
3,a,stress,MaxRateMatching,phase_surge_throughput_mbps,Mbps,mean,4.262199038014982,4.25086348747857,4.273534588551394,10,720
3,a,stress,MaxRateMatching,phase_degradation_throughput_mbps,Mbps,mean,3.147743609533504,3.1143671379178066,3.181120081149201,10,720
3,a,stress,MaxRateMatching,phase_recovery_throughput_mbps,Mbps,mean,3.592324590075647,3.5730660072418567,3.6115831729094374,10,720
3,a,stress,MaxWeight,phase_pre_surge_throughput_mbps,Mbps,mean,3.5411565528999005,3.506131580435908,3.576181525363893,10,720
3,a,stress,MaxWeight,phase_surge_throughput_mbps,Mbps,mean,4.143571334267969,4.13542165463659,4.1517210138993486,10,720
3,a,stress,MaxWeight,phase_degradation_throughput_mbps,Mbps,mean,3.0885486135939173,3.059397942221608,3.1176992849662266,10,720
3,a,stress,MaxWeight,phase_recovery_throughput_mbps,Mbps,mean,3.6623910983697394,3.6443852310053315,3.6803969657341473,10,720
3,a,stress,WeightedMaxWeight,phase_pre_surge_throughput_mbps,Mbps,mean,3.5463969670539712,3.5113794338755917,3.5814145002323508,10,720
3,a,stress,WeightedMaxWeight,phase_surge_throughput_mbps,Mbps,mean,4.2144401952503125,4.203005450037584,4.225874940463041,10,720
3,a,stress,WeightedMaxWeight,phase_degradation_throughput_mbps,Mbps,mean,3.155756215696577,3.120725939108572,3.1907864922845817,10,720
3,a,stress,WeightedMaxWeight,phase_recovery_throughput_mbps,Mbps,mean,3.6853421006425107,3.6650035852956733,3.705680615989348,10,720
3,a,stress,EDF,phase_pre_surge_throughput_mbps,Mbps,mean,3.511087206028667,3.479066682945102,3.543107729112232,10,720
3,a,stress,EDF,phase_surge_throughput_mbps,Mbps,mean,4.206451513453899,4.191982723557554,4.220920303350245,10,720
3,a,stress,EDF,phase_degradation_throughput_mbps,Mbps,mean,3.047306727346977,3.0251529050019546,3.0694605496919998,10,720
3,a,stress,EDF,phase_recovery_throughput_mbps,Mbps,mean,3.545975321496043,3.5214771656201473,3.5704734773719387,10,720
3,a,stress,LyapunovDPP-Energy,phase_pre_surge_throughput_mbps,Mbps,mean,3.529579707673517,3.4942602884405116,3.5648991269065227,10,720
3,a,stress,LyapunovDPP-Energy,phase_surge_throughput_mbps,Mbps,mean,4.144451300439584,4.136954964076385,4.151947636802784,10,720
3,a,stress,LyapunovDPP-Energy,phase_degradation_throughput_mbps,Mbps,mean,3.0645971212997054,3.0337210196914164,3.0954732229079944,10,720
3,a,stress,LyapunovDPP-Energy,phase_recovery_throughput_mbps,Mbps,mean,3.6514188601727957,3.6334556455219738,3.6693820748236177,10,720
3,a,stress,SASP,phase_pre_surge_throughput_mbps,Mbps,mean,3.5360151370903723,3.501732976532872,3.5702972976478726,10,720
3,a,stress,SASP,phase_surge_throughput_mbps,Mbps,mean,4.188375524500398,4.177425334773411,4.199325714227386,10,720
3,a,stress,SASP,phase_degradation_throughput_mbps,Mbps,mean,3.326506367835607,3.290528405673475,3.362484329997739,10,720
3,a,stress,SASP,phase_recovery_throughput_mbps,Mbps,mean,3.6824750674307447,3.6667401182188275,3.698210016642662,10,720
3,b,stress,MaxRateMatching,phase_pre_surge_queue_overflow_packet_probability,%,mean,0.052809806655483474,0.029759649062094665,0.07585996424887229,10,720
3,b,stress,MaxRateMatching,phase_surge_queue_overflow_packet_probability,%,mean,6.341261632584727,6.061484502823832,6.621038762345622,10,720
3,b,stress,MaxRateMatching,phase_degradation_queue_overflow_packet_probability,%,mean,11.055355968387572,10.587035386138531,11.523676550636612,10,720
3,b,stress,MaxRateMatching,phase_recovery_queue_overflow_packet_probability,%,mean,7.454404909171148,7.183715129924162,7.725094688418134,10,720
3,b,stress,MaxWeight,phase_pre_surge_queue_overflow_packet_probability,%,mean,0.037143640033018066,0.010116103637192831,0.0641711764288433,10,720
